,angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0,0.16,"[330, 290, 147, 185]",0.0,0.13,0.05,0.43,0.23,0.01
1,0.1,"[330, 291, 148, 186]",0.0,0.06,0.06,0.51,0.27,0.0
2,0.07,"[330, 293, 146, 181]",0.0,0.09,0.04,0.52,0.28,0.01
3,0.1,"[330, 292, 151, 186]",0.0,0.08,0.05,0.54,0.22,0.0
4,0.08,"[331, 293, 150, 185]",0.0,0.07,0.04,0.61,0.2,0.0
5,0.11,"[331, 291, 151, 186]",0.0,0.07,0.05,0.5,0.25,0.0
6,0.1,"[331, 293, 149, 184]",0.0,0.08,0.04,0.56,0.22,0.0
7,0.11,"[330, 292, 151, 185]",0.0,0.07,0.07,0.52,0.23,0.0
8,0.08,"[331, 292, 150, 186]",0.0,0.09,0.03,0.55,0.24,0.0
9,0.1,"[331, 289, 149, 187]",0.0,0.07,0.06,0.48,0.28,0.01
10,0.12,"[329, 291, 150, 185]",0.0,0.08,0.05,0.34,0.4,0.01
11,0.11,"[330, 291, 151, 185]",0.0,0.08,0.07,0.43,0.3,0.01
12,0.09,"[329, 294, 148, 179]",0.0,0.09,0.04,0.55,0.23,0.01
13,0.12,"[330, 291, 149, 186]",0.0,0.07,0.06,0.48,0.26,0.01
14,0.08,"[330, 292, 151, 187]",0.0,0.07,0.04,0.58,0.22,0.01
15,0.13,"[329, 290, 150, 188]",0.0,0.07,0.03,0.5,0.27,0.0
16,0.14,"[331, 287, 148, 191]",0.0,0.08,0.12,0.36,0.29,0.01
17,0.17,"[331, 288, 148, 190]",0.0,0.09,0.09,0.42,0.23,0.01
18,0.12,"[331, 290, 147, 187]",0.0,0.07,0.06,0.49,0.25,0.0
19,0.14,"[405, 433, 37, 42]",0.0,0.03,0.11,0.04,0.64,0.04
20,0.13,"[405, 433, 37, 42]",0.0,0.03,0.12,0.04,0.64,0.05
21,0.09,"[407, 433, 36, 43]",0.0,0.04,0.16,0.05,0.58,0.08
22,0.1,"[407, 434, 36, 42]",0.0,0.04,0.15,0.05,0.59,0.07
23,0.17,"[319, 283, 144, 183]",0.0,0.17,0.14,0.18,0.3,0.03
24,0.16,"[316, 284, 145, 180]",0.0,0.19,0.08,0.14,0.41,0.02
25,0.16,"[315, 286, 141, 175]",0.0,0.15,0.1,0.13,0.44,0.01
26,0.12,"[314, 284, 137, 173]",0.0,0.15,0.09,0.12,0.51,0.01
27,0.11,"[311, 280, 140, 174]",0.0,0.14,0.06,0.17,0.52,0.01
28,0.12,"[307, 277, 140, 176]",0.0,0.13,0.22,0.15,0.37,0.01
29,0.08,"[304, 282, 138, 167]",0.0,0.11,0.23,0.12,0.44,0.01
30,0.13,"[301, 282, 136, 163]",0.0,0.11,0.13,0.13,0.49,0.01
31,0.1,"[298, 283, 132, 159]",0.0,0.12,0.16,0.12,0.48,0.01
32,0.15,"[296, 285, 131, 155]",0.0,0.13,0.11,0.11,0.5,0.01
33,0.13,"[294, 283, 132, 157]",0.0,0.12,0.17,0.12,0.46,0.01
34,0.11,"[292, 284, 131, 155]",0.0,0.1,0.19,0.15,0.44,0.01
35,0.1,"[291, 286, 127, 150]",0.0,0.1,0.13,0.13,0.52,0.01
36,0.09,"[288, 287, 125, 149]",0.0,0.09,0.19,0.09,0.52,0.01
37,0.07,"[286, 286, 125, 147]",0.0,0.1,0.14,0.09,0.58,0.01
38,0.09,"[280, 279, 131, 156]",0.0,0.16,0.17,0.1,0.48,0.01
39,0.08,"[278, 279, 131, 155]",0.0,0.1,0.37,0.08,0.36,0.01
40,0.07,"[278, 285, 123, 150]",0.0,0.15,0.26,0.09,0.42,0.01
41,0.09,"[277, 287, 123, 148]",0.0,0.16,0.3,0.08,0.35,0.02
42,0.17,"[275, 286, 121, 146]",0.0,0.16,0.24,0.1,0.31,0.01
43,0.13,"[276, 288, 122, 145]",0.0,0.2,0.16,0.08,0.41,0.02
44,0.14,"[274, 288, 121, 145]",0.0,0.19,0.19,0.11,0.35,0.02
45,0.09,"[274, 288, 122, 145]",0.0,0.16,0.28,0.15,0.31,0.01
46,0.13,"[274, 288, 123, 146]",0.0,0.23,0.2,0.12,0.31,0.01
47,0.17,"[274, 289, 121, 143]",0.0,0.2,0.2,0.1,0.31,0.01
48,0.19,"[274, 287, 123, 147]",0.0,0.2,0.21,0.09,0.29,0.01
49,0.21,"[274, 288, 122, 145]",0.0,0.2,0.19,0.08,0.29,0.01
50,0.16,"[275, 287, 122, 147]",0.0,0.15,0.28,0.13,0.27,0.01
51,0.15,"[273, 289, 121, 143]",0.0,0.2,0.2,0.14,0.3,0.01
52,0.25,"[273, 290, 115, 139]",0.0,0.18,0.17,0.13,0.26,0.01
53,0.22,"[273, 289, 116, 139]",0.0,0.18,0.16,0.14,0.29,0.01
54,0.23,"[272, 289, 117, 139]",0.0,0.17,0.14,0.13,0.31,0.01
55,0.25,"[272, 291, 114, 135]",0.0,0.16,0.21,0.09,0.26,0.01
56,0.24,"[272, 290, 115, 137]",0.0,0.17,0.18,0.1,0.31,0.01
57,0.18,"[271, 289, 115, 139]",0.0,0.2,0.15,0.12,0.33,0.02
58,0.21,"[271, 290, 114, 136]",0.0,0.21,0.14,0.1,0.33,0.02
59,0.21,"[272, 288, 113, 137]",0.0,0.2,0.14,0.16,0.28,0.01
60,0.18,"[272, 289, 117, 137]",0.0,0.22,0.14,0.14,0.3,0.02
61,0.22,"[270, 290, 114, 135]",0.0,0.24,0.13,0.09,0.3,0.02
62,0.17,"[270, 287, 121, 142]",0.0,0.25,0.14,0.13,0.3,0.01
63,0.16,"[271, 288, 118, 140]",0.0,0.24,0.13,0.11,0.34,0.01
64,0.15,"[272, 286, 121, 144]",0.01,0.2,0.16,0.13,0.34,0.01
65,0.13,"[273, 286, 121, 145]",0.0,0.23,0.19,0.14,0.3,0.01
66,0.15,"[274, 288, 117, 141]",0.0,0.24,0.17,0.12,0.3,0.02
67,0.13,"[276, 288, 119, 143]",0.0,0.23,0.21,0.1,0.31,0.02
68,0.13,"[273, 282, 123, 150]",0.01,0.2,0.21,0.17,0.27,0.02
69,0.15,"[275, 283, 121, 148]",0.01,0.21,0.15,0.12,0.35,0.01
70,0.17,"[275, 284, 121, 147]",0.01,0.18,0.12,0.12,0.39,0.01
71,0.16,"[277, 287, 120, 145]",0.0,0.2,0.11,0.08,0.43,0.01
72,0.19,"[279, 289, 123, 147]",0.0,0.19,0.18,0.1,0.33,0.01
73,0.09,"[282, 288, 124, 146]",0.0,0.15,0.2,0.1,0.44,0.01
74,0.1,"[285, 283, 126, 150]",0.0,0.18,0.2,0.13,0.39,0.01
75,0.09,"[288, 289, 119, 141]",0.0,0.11,0.26,0.1,0.43,0.01
76,0.07,"[291, 288, 121, 144]",0.0,0.11,0.17,0.1,0.53,0.01
77,0.07,"[293, 289, 127, 150]",0.0,0.09,0.14,0.21,0.48,0.01
78,0.1,"[297, 288, 128, 152]",0.0,0.08,0.1,0.14,0.56,0.01
79,0.08,"[299, 285, 127, 156]",0.0,0.08,0.1,0.3,0.43,0.01
80,0.06,"[301, 287, 129, 153]",0.0,0.08,0.15,0.28,0.43,0.01
81,0.07,"[304, 283, 131, 159]",0.0,0.09,0.06,0.2,0.57,0.01
82,0.05,"[308, 285, 129, 161]",0.0,0.09,0.06,0.26,0.52,0.01
83,0.09,"[313, 289, 128, 162]",0.0,0.11,0.05,0.3,0.44,0.02
84,0.09,"[317, 295, 128, 157]",0.0,0.1,0.04,0.29,0.47,0.02
85,0.09,"[320, 288, 140, 171]",0.0,0.08,0.05,0.42,0.34,0.01
86,0.1,"[321, 284, 142, 182]",0.0,0.1,0.04,0.51,0.23,0.02
87,0.08,"[323, 284, 145, 181]",0.0,0.11,0.03,0.46,0.31,0.02
88,0.08,"[326, 286, 144, 178]",0.0,0.09,0.02,0.54,0.25,0.01
89,0.13,"[330, 287, 141, 176]",0.0,0.08,0.03,0.53,0.21,0.02
90,0.09,"[332, 288, 138, 174]",0.0,0.07,0.04,0.59,0.18,0.02
91,0.09,"[333, 283, 147, 181]",0.0,0.06,0.04,0.63,0.16,0.02
92,0.15,"[334, 290, 143, 174]",0.01,0.12,0.05,0.48,0.15,0.05
93,0.1,"[336, 286, 137, 174]",0.0,0.08,0.06,0.6,0.14,0.03
94,0.14,"[337, 286, 141, 175]",0.01,0.09,0.03,0.57,0.13,0.03
95,0.15,"[337, 284, 141, 179]",0.01,0.1,0.06,0.51,0.11,0.07
96,0.11,"[340, 286, 142, 173]",0.0,0.07,0.04,0.58,0.16,0.04
97,0.13,"[343, 286, 141, 175]",0.01,0.07,0.05,0.57,0.14,0.03
98,0.14,"[343, 285, 140, 175]",0.0,0.1,0.04,0.52,0.15,0.05
99,0.1,"[343, 287, 141, 172]",0.0,0.07,0.03,0.67,0.11,0.02
100,0.11,"[339, 288, 144, 173]",0.0,0.07,0.04,0.64,0.1,0.03
101,0.1,"[340, 288, 145, 176]",0.0,0.08,0.02,0.67,0.1,0.03
102,0.12,"[341, 290, 144, 173]",0.0,0.08,0.03,0.63,0.1,0.04
103,0.1,"[341, 290, 146, 174]",0.0,0.07,0.02,0.67,0.11,0.02
104,0.16,"[341, 289, 146, 177]",0.0,0.11,0.03,0.56,0.11,0.02
105,0.13,"[341, 288, 147, 178]",0.01,0.08,0.03,0.62,0.11,0.03
106,0.18,"[342, 287, 148, 179]",0.01,0.1,0.02,0.49,0.15,0.05
107,0.21,"[342, 288, 148, 178]",0.01,0.11,0.01,0.5,0.12,0.03
108,0.18,"[340, 288, 151, 177]",0.0,0.08,0.02,0.59,0.11,0.02
109,0.15,"[338, 288, 151, 177]",0.01,0.1,0.03,0.57,0.12,0.03
110,0.16,"[337, 290, 147, 174]",0.0,0.1,0.03,0.56,0.12,0.03
111,0.16,"[336, 290, 146, 173]",0.01,0.1,0.03,0.55,0.13,0.02
112,0.13,"[336, 288, 148, 177]",0.0,0.1,0.05,0.56,0.14,0.02
113,0.16,"[336, 289, 146, 174]",0.0,0.11,0.03,0.56,0.12,0.02
114,0.12,"[336, 289, 146, 174]",0.0,0.1,0.03,0.63,0.11,0.02
115,0.15,"[335, 288, 147, 175]",0.01,0.11,0.04,0.52,0.14,0.02
116,0.11,"[334, 289, 146, 174]",0.0,0.1,0.05,0.59,0.13,0.02
117,0.09,"[334, 289, 145, 174]",0.0,0.1,0.05,0.64,0.11,0.01
118,0.14,"[336, 291, 143, 171]",0.0,0.12,0.05,0.52,0.16,0.02
119,0.11,"[333, 289, 146, 174]",0.01,0.12,0.03,0.59,0.14,0.01
120,0.13,"[334, 289, 145, 174]",0.0,0.12,0.03,0.56,0.14,0.02
121,0.11,"[335, 291, 141, 171]",0.0,0.1,0.04,0.6,0.13,0.01
122,0.07,"[337, 283, 148, 186]",0.0,0.09,0.04,0.66,0.13,0.01
123,0.04,"[333, 280, 143, 188]",0.0,0.06,0.04,0.73,0.11,0.01
124,0.08,"[335, 281, 153, 191]",0.0,0.06,0.04,0.64,0.17,0.01
125,0.04,"[333, 282, 142, 186]",0.0,0.05,0.02,0.77,0.1,0.01
